NomJoueur1;;PrenomJoueur1;Nationalite1;01/01/1989;Lieu1;Droitier;Entraineur1;70;170;homme
NomJoueur2;;PrenomJoueur2;Nationalite2;02/01/1989;Lieu2;Droitier;Entraineur2;71;171;homme
NomJoueur3;;PrenomJoueur3;Nationalite3;03/01/1989;Lieu3;Droitier;Entraineur3;72;172;homme
NomJoueur4;;PrenomJoueur4;Nationalite4;04/01/1989;Lieu4;Droitier;Entraineur4;73;173;homme
NomJoueur5;;PrenomJoueur5;Nationalite5;05/01/1989;Lieu5;Droitier;Entraineur5;74;174;homme
NomJoueur6;;PrenomJoueur6;Nationalite6;06/01/1989;Lieu6;Droitier;Entraineur6;75;175;homme
NomJoueur7;;PrenomJoueur7;Nationalite7;07/01/1989;Lieu7;Droitier;Entraineur7;76;176;homme
NomJoueur8;;PrenomJoueur8;Nationalite8;08/01/1989;Lieu8;Droitier;Entraineur8;78;178;homme
NomJoueur9;;PrenomJoueur9;Nationalite9;09/01/1989;Lieu9;Droitier;Entraineur9;79;179;homme
NomJoueur10;;PrenomJoueur10;Nationalite10;10/01/1989;Lieu10;Gaucher;Entraineur10;70;180;homme
NomJoueur11;;PrenomJoueur11;Nationalite11;11/01/1989;Lieu11;Gaucher;Entraineur11;80;180;homme
NomJoueur12;;PrenomJoueur12;Nationalite12;12/01/1989;Lieu12;Gaucher;Entraineur12;81;181;homme
NomJoueur13;;PrenomJoueur13;Nationalite13;13/01/1989;Lieu13;Gaucher;Entraineur13;82;182;homme
NomJoueur14;;PrenomJoueur14;Nationalite14;14/01/1989;Lieu14;Gaucher;Entraineur14;83;183;homme
NomJoueur15;;PrenomJoueur15;Nationalite15;15/01/1989;Lieu15;Gaucher;Entraineur15;84;184;homme
NomJoueur16;;PrenomJoueur16;Nationalite16;16/01/1989;Lieu16;Gaucher;Entraineur16;85;185;homme
NomJoueur17;;PrenomJoueur17;Nationalite17;17/01/1989;Lieu17;Gaucher;Entraineur17;86;186;homme
NomJoueur18;;PrenomJoueur18;Nationalite18;18/01/1989;Lieu18;Gaucher;Entraineur18;88;188;homme
NomJoueur19;;PrenomJoueur19;Nationalite19;19/01/1989;Lieu19;Gaucher;Entraineur19;89;189;homme
NomJoueur20;;PrenomJoueur20;Nationalite1;10/09/1985;Lieu20;Gaucher;Entraineur20;90;190;homme
NomJoueur21;;PrenomJoueur21;Nationalite1;11/09/1985;Lieu21;Gaucher;Entraineur21;90;190;homme
NomJoueur22;;PrenomJoueur22;Nationalite2;12/09/1985;Lieu22;Gaucher;Entraineur22;91;191;homme
NomJoueur23;;PrenomJoueur23;Nationalite3;13/09/1985;Lieu23;Gaucher;Entraineur23;92;192;homme
NomJoueur24;;PrenomJoueur24;Nationalite4;14/09/1985;Lieu24;Gaucher;Entraineur24;93;193;homme
NomJoueur25;;PrenomJoueur25;Nationalite5;15/09/1985;Lieu25;Gaucher;Entraineur25;94;194;homme
NomJoueur26;;PrenomJoueur26;Nationalite6;16/09/1985;Lieu26;Gaucher;Entraineur26;95;195;homme
NomJoueur27;;PrenomJoueur27;Nationalite7;17/09/1985;Lieu27;Gaucher;Entraineur27;96;196;homme
NomJoueur28;;PrenomJoueur28;Nationalite8;18/09/1985;Lieu28;Gaucher;Entraineur28;98;198;homme
NomJoueur29;;PrenomJoueur29;Nationalite9;19/09/1985;Lieu29;Gaucher;Entraineur29;99;199;homme
NomJoueur30;;PrenomJoueur30;Nationalite10;10/01/1989;Lieu10;Droitier;Entraineur10;70;180;homme
NomJoueur31;;PrenomJoueur31;Nationalite11;11/01/1989;Lieu11;Droitier;Entraineur11;80;180;homme
